country,noc_code,team_name,year,n_athletes,gold,silver,bronze,total_medals,snowfall_total,snowfall_mean_gridcell,gdp,gdp_per_capita,population,won_any_medal,log_total_medals,log_gdp,log_population,medals_per_million
AUS,AUS,Australia,1998,23,0,0,1,1,0.1696118571924599,0.0220189562989882,400361527504.578,21516.0403147759,18607584,1,0.6931471805599453,11.602452337550456,7.269689988198862,0.053741528185496844
AUT,AUT,Austria,1998,96,3,5,12,20,0.8163906183060838,9.659742494436577,217068085815.918,27212.4642905708,7976789,1,3.044522437723423,11.336595976504269,6.9018281043556495,2.5072745436791672
AZE,AZE,Azerbaijan,1998,4,0,0,0,0,0.2947919061008366,3.2460382744561103,4446368570.6901,561.906807871869,7913000,0,0.0,9.648005459618592,6.898341165727509,0.0
BEL,BEL,Belgium,1998,1,0,0,1,1,0.0256049063220322,0.8528652884695063,258528339631.029,25338.4432934904,10203008,1,0.6931471805599453,11.41250815698806,7.0087282271752205,0.09801031225301401
BGR,BUL,Bulgaria,1998,19,1,0,0,1,0.6616277383370579,6.02326525968522,15031055046.7575,1820.44866449942,8256786,1,0.6931471805599453,10.176989465277776,6.91681102866476,0.1211125006752022
BIH,BIH,Bosnia and Herzegovina,1998,8,0,0,0,0,0.3334480333839017,6.645108153350893,4116774300.60671,1006.70479669823,4089356,0,0.0,9.614557057746097,6.611654919824477,0.0
BLR,BLR,Belarus,1998,59,0,0,2,2,1.1191610350447747,5.372946519677351,15222012660.4232,1511.32531567314,10071963,1,1.0986122886681098,10.1824720788161,7.003114121694192,0.1985710233447045
BMU,BER,Bermuda,1998,1,0,0,0,0,,,3130748000.0,51629.2814855126,60639,0,0.0,9.495648111815596,4.782752030716628,0.0
BRA,BRA,Brazil,1998,1,0,0,0,0,0.0,0.0,863711007325.493,5105.89246192003,169159655,0,0.0,11.936368454378641,8.228296790735037,0.0
CAN,CAN,Canada,1998,144,14,28,7,49,73.07483398465311,7.322604645938074,634000000000.0,21024.5850687045,30155173,1,3.912023005428146,11.802089257881732,7.479361824358285,1.6249284990008184
CHE,SUI,Switzerland,1998,69,6,5,3,14,0.7024316424122835,15.144759827952532,303459014346.806,42680.5867322391,7110001,1,2.70805020110221,11.4821000428742,6.851869661811968,1.9690573883182294
CHL,CHI,Chile,1998,3,0,0,0,0,7.259462347218965,8.918593610711461,81990010704.0602,5419.82417297191,15127799,0,0.0,10.913760943110871,7.179775745492537,0.0
CHN,CHN,China,1998,56,0,9,5,14,28.459236035868045,3.025040066330336,1037134141760.35,835.095348597432,1241935000,1,2.70805020110221,12.01583493118046,9.094098866468553,0.011272731664700648
CYP,CYP,Cyprus,1998,1,0,0,0,0,5.085351975168737e-05,0.0078361527811345,10248618778.2805,15092.828125,914548,0,0.0,10.010665338817036,5.961206504331919,0.0
CZE,CZE,Czech Republic,1998,61,21,1,1,23,0.1816347882678455,2.239324675414196,67187217327.7326,6526.59635780951,10294373,1,3.1780538303479458,10.827286654421535,7.012599900159241,2.234230292607428
DEU,GER,Germany,1998,125,22,12,10,44,0.6961716865109959,1.9555136255961336,2247760364565.97,27395.9440608051,82047195,1,3.8066624897703196,12.351750008901433,7.9140637381393235,0.5362767124458063
DNK,DEN,Denmark,1998,12,0,5,0,5,0.0602428374786836,1.4238704160586608,176877077513.133,33346.4884298957,5304219,1,1.791759469228055,11.247671553912555,6.724621446868824,0.9426458447511311
ESP,ESP,Spain,1998,12,0,0,0,0,0.4121655973946897,0.8203398115884907,618731484575.12,15382.3348573373,40223509,0,0.0,11.791502215954281,7.604479954695897,0.0
EST,EST,Estonia,1998,20,0,0,0,0,0.2148552927798796,4.83939939468292,5674080542.88575,4093.39247738765,1386156,0,0.0,9.753895496261134,6.141812109155078,0.0
